id,ed_0to2,ed_3to4,ed_5to8
TRC3,0.755,0.133,0.113
UKC1,0.245,0.428,0.327
UKC2,0.237,0.38799999999999996,0.375
UKD1,0.20800000000000002,0.429,0.363
UKD3,0.23,0.376,0.39399999999999996
UKD4,0.21,0.42200000000000004,0.368
UKD6,0.16,0.371,0.46799999999999997
UKD7,0.254,0.389,0.35700000000000004
UKE1,0.254,0.408,0.33799999999999997
UKE2,0.18,0.40299999999999997,0.41700000000000004
UKE3,0.22399999999999998,0.435,0.341
UKE4,0.266,0.387,0.34700000000000003
UKF1,0.21600000000000003,0.41600000000000004,0.368
UKF2,0.20800000000000002,0.425,0.36700000000000005
UKF3,0.226,0.457,0.317
UKG1,0.215,0.35700000000000004,0.428
UKG2,0.20800000000000002,0.44799999999999995,0.344
UKG3,0.297,0.37799999999999995,0.325
UKH1,0.226,0.396,0.37799999999999995
UKH2,0.187,0.364,0.449
UKH3,0.245,0.419,0.336
UKI3,0.091,0.162,0.747
UKI4,0.152,0.252,0.597
UKI5,0.193,0.349,0.45799999999999996
UKI6,0.139,0.325,0.536
UKI7,0.149,0.3,0.55
UKJ1,0.151,0.335,0.514
UKJ2,0.161,0.37200000000000005,0.46799999999999997
UKJ3,0.18899999999999997,0.41100000000000003,0.4
UKJ4,0.218,0.389,0.39299999999999996
UKK1,0.16399999999999998,0.37799999999999995,0.45799999999999996
UKK2,0.195,0.397,0.40700000000000003
UKK3,0.201,0.451,0.348
UKK4,0.18899999999999997,0.41100000000000003,0.4
UKL1,0.22899999999999998,0.41700000000000004,0.354
UKL2,0.20600000000000002,0.359,0.435
UKM5,0.171,0.34,0.489
UKM6,0.22,0.33899999999999997,0.441
UKM7,0.166,0.325,0.509
UKM8,0.226,0.292,0.48200000000000004
UKM9,0.23399999999999999,0.34700000000000003,0.419
UKN0,0.262,0.39399999999999996,0.344
